Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),H2X(49),C2H4(47),CH3X(55),O(29),COX(50),CHOX(53),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),C2H3X(214),C2H2X(254),C2HX(261),C2H3X(69),C2H2X(276),C2H3(46),C2H2(294),C2H2(314),C2H2X(315)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.47460436880409e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.810489364446658e-54,4.1740642393590645e-36,8.058464590283352e-89,3.069532881635153e-54,3.851593680085622e-132,6.596931102961391e-20,-1.8622754634574123e-105,6.596931102961388e-20,5.252837384752164e-72,7.774325334637973e-71,2.1433649920511394e-112,2.4852268187886062e-113,1.503499787962595e-37,2.936073257308931e-85,3.602765178437314e-18,1.0667147362899237e-19,4.270416784895046e-22,1.2660993123676063e-37,4.688149010071552e-37,4.270416784883968e-22,5.466267293211341e-34,1.5266892714868893e-42,1.8111975210695167e-47,5.527163971158594e-54,3.2132119462604845e-78,3.574846565691717e-52,5.152573593955533e-75,4.217750471531597e-37,8.019979364962293e-28,3.7746674748087287e-106,-2.858903768449998e-109,-4.075266034485117e-124,6.806802191383912e-71,1.1829433057419618e-91,1.6700692509216334e-87,6.740725079015569e-102,9.939306964728379e-83,2.465393240427414e-90,5.710940733362732e-103,2.177912894645926e-103,3.9792360679948455e-118,8.486922224923251e-104,1.441964837478083e-116,1.8656527223706445e-131,3.4362716231634575e-133
2.0928892232651454e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,8.085412973498272e-53,2.5211348005834375e-35,8.905234102466151e-87,4.638678113017325e-53,1.3898297051619587e-129,1.84714070882919e-19,3.5951487421521645e-104,1.8471407088291885e-19,1.4813841947642932e-70,2.444372285428092e-69,4.284888586449953e-110,4.96831854119298e-111,9.081138719294084e-37,1.5273238647408872e-83,1.0087742499624477e-17,2.986801261611787e-19,1.19571669977241e-21,7.64723984650894e-37,2.8316420020797955e-36,1.1957166997657198e-21,3.3016254361917656e-33,1.81248549762417e-41,2.150354374728524e-46,6.561849066381898e-53,1.9548436538519108e-76,4.244057842805474e-51,3.1345619534876055e-73,2.5475212848001176e-36,2.245594222676576e-27,7.546092075028081e-104,2.8934194576300706e-107,7.525107077902013e-122,1.9196271357026261e-69,1.3071852821404156e-89,9.61874385241984e-86,6.379063969357187e-100,7.6696145088471245e-81,5.917588133697238e-78,2.8041703801897736e-92,2.0610610153465986e-101,6.818119919777217e-116,8.031572144634997e-102,2.4706976448264086e-114,5.77263512733429e-129,1.0632387282578256e-130
4.783746796034618e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.938306403283327e-52,1.2138178808214588e-34,8.057582512980303e-85,4.990078240536038e-52,5.032736882371264e-127,4.2220359058952925e-19,3.796097492972495e-102,4.222035905895286e-19,3.222334199869287e-69,5.453260104639644e-68,7.75811825356713e-108,8.99552041698855e-109,4.372177383395238e-36,6.735181331771423e-82,2.3057697141998778e-17,6.826974312255514e-19,2.7330667423454074e-21,3.681816800077887e-36,1.3633137321236748e-35,2.7330667423131974e-21,1.5895905155040298e-32,1.779508997841415e-40,2.111443931472502e-45,6.442462324231925e-52,8.825977005573535e-75,4.1668411570206914e-50,1.4150910918880792e-71,1.2265218371139364e-35,5.132786796985804e-27,1.366277640340465e-101,6.059862634694382e-105,3.136986835913697e-119,4.175608321078692e-68,1.182642944452223e-87,4.313448468068022e-84,5.630409937491903e-98,8.358720981121969e-79,1.141249131187299e-76,1.1096502818697357e-90,1.8191726058864382e-99,1.2033812218774274e-113,7.088977919115751e-100,4.360719942902944e-112,2.036898482094428e-126,3.7516823841218063e-128
1.0165461941573563e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,7.021342115346959e-51,5.301061584149716e-34,6.099309770349216e-83,4.586741617954575e-51,1.5263118303730763e-124,8.971826300027501e-19,3.0004986948944965e-100,8.971826300027472e-19,5.973664539091214e-68,1.0213352651342467e-66,1.1757962428294729e-105,1.3633330613012545e-106,1.909444730712508e-35,2.5566071621415254e-80,4.8997606426747306e-17,1.4507320413542966e-18,5.807766827520152e-21,1.6079461264101746e-35,5.953949242737832e-35,5.807766827379484e-21,6.942159324306177e-32,1.5739555356243454e-39,1.867927608232627e-44,5.698284966549533e-51,3.333187316660082e-73,3.6855238154714246e-49,5.343114640334878e-70,5.356543098768124e-35,1.0907171953398394e-26,2.070687844213058e-99,9.740479981853119e-103,1.0099168117067036e-116,7.740874102313233e-67,8.950419988771816e-86,1.6228271195705863e-82,4.282369608372993e-96,6.8379526160136024e-77,1.953649407535591e-75,3.814072447024875e-89,1.383623851293835e-97,1.832194518343966e-111,5.3917252813037565e-98,6.639365007675533e-110,6.205304523349325e-124,1.1429303852679273e-125
2.0928892232651456e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.901861115720828e-50,2.2130888598555093e-33,4.239020582431635e-81,3.924054021674765e-50,4.2469401270000205e-122,1.847140708829194e-18,2.1266472141774513e-98,1.847140708829182e-18,1.0267203064857828e-66,1.7641026821271107e-65,1.635331067447243e-103,1.8961626421352693e-104,7.971555875777787e-35,9.14747821299458e-79,1.0087742499624403e-16,2.9868012616117867e-18,1.1957166997984634e-20,6.712858551502864e-35,2.4856566050922016e-34,1.1957166997397373e-20,2.8982147945956495e-31,1.3230044308580837e-38,1.5707438970349906e-43,4.789751860684931e-50,1.1569001344389392e-71,3.097904836475508e-48,1.853774633434115e-68,2.2362512999367473e-34,2.2455942297400122e-26,2.879971919650241e-97,1.3931644734993688e-100,2.891266335755355e-114,1.330458478006001e-65,6.218074251926546e-84,5.619335081024378e-81,3.0669756049255316e-94,4.921323956513419e-75,3.2251698903894343e-74,1.2607913236026202e-87,9.909328219725487e-96,2.6254712557102697e-109,3.8614812424191826e-96,9.513979989217186e-108,1.7787649657953413e-121,3.2762365168463796e-123
4.245575281480724e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996512,0.022821567693054285,0.0,4.838702318380197e-49,9.041190106268721e-33,2.82753119476647e-79,3.2444837488825804e-49,1.1336455890333554e-119,3.747056866482087e-18,1.43113608307006e-96,3.747056866482039e-18,1.701713611893478e-65,2.9310829899102408e-64,2.1822798553496308e-101,2.5303485139735844e-102,3.2566406807185896e-34,3.26113501830913e-77,2.046370621352361e-16,6.058939702126765e-18,2.4255967339373575e-20,2.7424217522999683e-34,1.0154718281371221e-33,2.425596733697442e-20,1.184015255567716e-30,1.0846789079593357e-37,1.2888373249178079e-42,3.926927958161822e-49,3.8560421111593584e-70,2.5398495526383893e-47,6.173843191930698e-67,9.135816230769512e-34,4.5553483110109755e-26,3.8432002113544674e-95,1.88470639558182e-98,7.825968364911717e-112,2.2051373560856377e-64,4.144319942143269e-82,1.8695881759102098e-79,2.1869290986791913e-92,3.335833348782216e-73,5.2394572684303983e-73,4.0986024074288766e-86,7.065918040633498e-94,3.7443479958564886e-107,2.7534570830330977e-94,1.3568479117052547e-105,5.073703002149422e-119,9.345051972863819e-121
8.55094739791188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996491,0.02282156769305428,0.0,3.91850658971148e-48,3.654593597668445e-32,1.849414328665487e-77,2.63836030156285e-48,2.9666224655878404e-117,7.546889181787899e-18,9.390207305372905e-95,7.546889181787706e-18,2.770799476494673e-64,4.778405037992544e-63,2.8551748011970036e-99,3.3105686686032937e-100,1.3163862323511479e-33,1.209499554373795e-75,4.1215633641321477e-16,1.2203216583156716e-17,4.885356802399134e-20,1.1085307188851715e-33,4.104699489137669e-33,4.885356801429359e-20,4.785978530591075e-30,8.784010095120137e-37,1.0454290132301528e-41,3.180128070011916e-48,1.2606881961488313e-68,2.056836018046926e-46,2.015245036615975e-65,3.692842989365864e-33,9.174856523435372e-26,5.028231540466766e-93,2.4825883524733297e-96,2.0621319663810795e-109,3.5904945398251035e-63,2.7063993718003723e-80,6.099541298173553e-78,1.6213091751508688e-90,2.1964621055040384e-71,8.446451272078999e-72,1.3217997936062068e-84,5.238412979836107e-92,5.550359990874873e-105,2.041312288167e-92,2.011296591902417e-103,1.503980872735156e-116,2.770122614319425e-118
1.7161691630774193e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996449,0.022821567693054275,0.0,3.153955006505592e-47,1.4694960125555915e-31,1.1993724177022996e-75,2.1279331643664446e-47,7.696363343499056e-115,1.5146553812399626e-17,6.084714587623926e-93,1.5146553812398847e-17,4.472081526050295e-63,7.717136891370546e-62,3.7034927161160085e-97,4.294191355603809e-98,5.29313114351443e-33,4.854113459208892e-74,8.271948849691506e-16,2.4491770345216582e-17,9.804876940058647e-20,4.4573532580787214e-33,1.6504816113220688e-32,9.804876936159227e-20,1.92442056367186e-29,7.070134029473828e-36,8.441810138106186e-41,2.559643730821317e-47,4.0873302037301075e-67,1.6555205684544514e-45,6.512922380723394e-64,1.4848759241130748e-32,1.841387314781405e-25,6.522199227575121e-91,3.2311173027002147e-94,5.3682448772959775e-107,5.795072663033496e-62,1.7495992073889845e-78,1.9707627104896317e-76,1.3000271460530207e-88,1.425741852598763e-69,1.3564972354115895e-70,4.246205127372933e-83,4.200358088212733e-90,8.896434448791922e-103,1.6368015682579882e-90,3.223821214667236e-101,4.82010809174685e-114,8.877965588247191e-116
3.438318009649882e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999982,0.11866996602996364,0.02282156769305426,0.0,2.530850264755331e-46,5.893336261869701e-31,7.763319543291183e-74,1.7092716395731264e-46,1.9927319823532547e-112,3.03458830736235e-17,3.918385862087121e-91,3.034588307362037e-17,7.186514955984784e-62,1.2405072137087947e-60,4.794479840618434e-95,5.559188437303894e-96,2.1227823296261389e-32,2.1702232025855087e-72,1.657271982080935e-15,4.906887786933621e-17,1.9643917218321517e-19,1.7875980103856605e-32,6.619169456253809e-32,1.9643917202683096e-19,7.717784339212955e-29,5.673334911218691e-35,6.8178147210300186e-40,2.053952885527377e-46,1.3227877934803663e-65,1.3284509958486204e-44,2.094457365172791e-62,5.955016581098969e-32,3.689190719469095e-25,8.443530230250632e-89,4.1901666227778784e-92,1.3923481732807668e-104,9.312526196481606e-61,1.1253785535859519e-76,6.336866563425826e-75,1.1609598509146641e-86,9.189274724216728e-68,2.1744467446629678e-69,1.36148504780089e-81,3.7510348606930903e-88,1.5879351315695352e-100,1.4617086482190337e-88,5.754236705231474e-99,1.7201447754949186e-111,3.168266321970679e-113
